               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071748,            0.035031,            0.048497,              0.2401,             0.64105,             0.29753,             0.12708,            0.030885,            0.011914,            0.027996,            0.070207,           0.0033103,           0.0033103
                   1,            0.048433,             0.02562,            0.035642,             0.35917,             0.61879,             0.43837,             0.21413,            0.031224,            0.010124,            0.019213,            0.039878,           0.0063148,           0.0063148
                   2,            0.046529,            0.023745,            0.027301,              0.4508,             0.68574,             0.55506,             0.32605,            0.025662,             0.00854,            0.018154,           0.0092192,           0.0089893,           0.0089893
                   3,             0.04064,             0.02172,            0.023531,             0.72044,             0.82871,             0.84356,              0.5364,            0.024395,           0.0084394,            0.010269,            0.008515,            0.008515,            0.008515
                   4,            0.037329,            0.022186,            0.020293,             0.73165,             0.81748,             0.85676,             0.51489,            0.022068,           0.0089791,           0.0091028,            0.008515,            0.008515,            0.008515
                   5,            0.033748,            0.021366,            0.017111,             0.87138,             0.87897,              0.9386,             0.61686,            0.020387,           0.0085937,           0.0063113,             0.00802,             0.00802,             0.00802
                   6,             0.03131,            0.020698,            0.015679,             0.84964,             0.88053,             0.92929,             0.69784,            0.015537,           0.0078815,           0.0071818,            0.007525,            0.007525,            0.007525
                   7,            0.029592,            0.020272,            0.015048,             0.83369,             0.87116,              0.9286,             0.66268,            0.016797,           0.0085062,           0.0064934,             0.00703,             0.00703,             0.00703
                   8,            0.028569,            0.020419,            0.014297,             0.88928,             0.89794,             0.95811,              0.6938,            0.016225,           0.0079235,           0.0051433,            0.006535,            0.006535,            0.006535
                   9,            0.027931,            0.019883,            0.012838,             0.88992,             0.90705,             0.95634,             0.71449,            0.016043,           0.0075003,           0.0041719,             0.00604,             0.00604,             0.00604
                  10,            0.026897,            0.018949,            0.011472,             0.92558,             0.93257,             0.97473,             0.75443,            0.014452,           0.0071563,           0.0030417,            0.005545,            0.005545,            0.005545
                  11,             0.02611,             0.01848,            0.010821,             0.94126,             0.95117,             0.98073,             0.77358,            0.013488,            0.007223,           0.0032392,             0.00505,             0.00505,             0.00505
                  12,            0.025178,            0.018859,            0.010177,             0.93354,             0.95623,             0.97979,              0.7748,            0.014358,           0.0068917,           0.0022414,            0.004555,            0.004555,            0.004555
                  13,            0.024676,            0.017885,           0.0094181,             0.94945,             0.96047,             0.98392,              0.7916,            0.012559,           0.0068082,             0.00205,             0.00406,             0.00406,             0.00406
                  14,            0.023452,            0.017475,            0.010545,             0.93841,             0.95183,             0.98198,             0.79743,            0.012323,           0.0067377,           0.0021268,            0.003565,            0.003565,            0.003565
                  15,            0.022956,             0.01759,            0.008379,             0.96246,             0.96054,             0.98847,             0.80917,             0.01174,           0.0066357,           0.0017587,             0.00307,             0.00307,             0.00307
                  16,            0.022567,            0.017182,           0.0080623,             0.95622,             0.96325,             0.98825,             0.81035,            0.011332,           0.0065732,           0.0016619,            0.002575,            0.002575,            0.002575
                  17,             0.02164,            0.016943,           0.0067895,             0.96794,             0.96011,             0.98819,             0.82773,            0.011222,           0.0061809,           0.0013432,             0.00208,             0.00208,             0.00208
                  18,            0.020808,            0.016727,           0.0064931,             0.96535,             0.96437,             0.98938,             0.82883,            0.010746,           0.0062232,             0.00148,            0.001585,            0.001585,            0.001585
                  19,            0.020075,            0.016434,            0.006455,             0.97082,             0.96404,             0.98864,             0.83576,              0.0107,           0.0061099,           0.0011885,             0.00109,             0.00109,             0.00109
